type,strike,bid,ask
call,24.50,7.80,8.20
call,25.00,7.30,7.70
call,25.50,6.80,7.10
call,26.00,6.40,6.60
call,26.50,5.90,6.10
call,27.00,5.40,5.60
call,27.50,3.30,5.10
call,28.00,3.80,5.90
call,28.50,3.30,4.20
call,29.00,2.50,3.50
call,29.50,2.90,3.30
call,30.00,2.40,2.55
call,30.50,1.80,2.65
call,31.00,1.35,1.70
call,31.50,0.00,1.20
call,32.00,0.05,0.55
call,32.50,0.00,0.10
call,33.00,0.00,0.05
call,33.50,0.00,0.05
call,34.00,0.00,0.05
call,34.50,0.00,0.05
call,35.00,0.00,0.05
call,35.50,0.00,0.05
call,36.00,0.00,0.05
call,36.50,0.00,0.05
call,37.00,0.00,0.05
call,37.50,0.00,0.05
call,38.00,0.00,0.05
call,38.50,0.00,0.05
call,39.00,0.00,0.05
put,24.50,0.00,1.35
put,25.00,0.00,0.55
put,25.50,0.00,0.25
put,26.00,0.00,0.55
put,26.50,0.00,0.25
put,27.00,0.00,0.20
put,27.50,0.00,1.15
put,28.00,0.00,0.05
put,28.50,0.00,0.30
put,29.00,0.00,0.05
put,29.50,0.00,0.30
put,30.00,0.00,0.05
put,30.50,0.00,0.55
put,31.00,0.00,0.05
put,31.50,0.00,0.40
put,32.00,0.00,0.05
put,32.50,0.00,0.15
put,33.00,0.45,0.60
put,33.50,0.05,2.20
put,34.00,1.45,1.85
put,34.50,1.35,3.60
put,35.00,2.40,3.40
put,35.50,2.00,4.80
put,36.00,3.40,5.20
put,36.50,3.70,5.40
put,37.00,3.80,6.60
put,37.50,4.90,6.40
put,38.00,5.30,7.50
put,38.50,5.70,7.60
put,39.00,5.70,8.10
